Breeding line,Yield
SWW14087DH49_2,3.5
SWW14087DH5_2,5.65
SWW14087DH50_2,4.3
SWW14087DH51_2,5.25
SWW14087DH52_2,5.04
SWW14087DH54_2,5.92
SWW14087DH55_2,6.12
SWW14087DH56_2,5.78
SWW14087DH58_2,4.51
SWW14087DH59_2,5.38
SWW14087DH6_2,5.92
SWW14087DH61_2,3.5
SWW14087DH62_2,4.84
SWW14087DH7_2,2.29
SWW14087DH8_2,4.64
SWW14087DH9_2,3.3
SWW14111DH1_2,4.71
SWW14111DH11_2,0.94
SWW14111DH12_2,1.61
SWW14111DH13_2,3.77
SWW14111DH15_2,0.27
SWW14111DH16_2,2.29
SWW14111DH17_2,4.04
SWW14111DH18_2,3.03
SWW14111DH19_2,2.29
SWW14111DH2_2,0.87
SWW14111DH20_2,1.95
SWW14111DH21_2,2.15
SWW14111DH22_2,0.61
SWW14111DH24_2,2.42
SWW14111DH25_2,6.73
SWW14111DH26_2,4.51
SWW14111DH29_2,6.73
SWW14111DH3_2,1.08
SWW14111DH30_2,5.38
SWW14111DH31_2,6.86
SWW14111DH32_2,6.32
SWW14111DH35_2,6.46
SWW14111DH36_2,5.92
SWW14111DH37_2,6.73
SWW14111DH38_2,3.83
SWW14111DH39_2,5.38
SWW14111DH4_2,1.48
SWW14111DH41_2,4.17
SWW14111DH42_2,6.32
SWW14111DH43_2,6.32
SWW14111DH44_2,6.05
SWW14111DH45_2,5.31
SWW14111DH47_2,6.19
SWW14111DH48_2,5.31
SWW14111DH49_2,5.31
SWW14111DH5_2,0.67
SWW14111DH50_2,5.25
SWW14111DH53_2,5.38
SWW14111DH54_2,4.51
SWW14111DH55_2,3.7
SWW14111DH56_2,4.1
SWW14111DH57_2,3.56
SWW14111DH58_2,5.85
SWW14111DH6_2,1.35
SWW14112DH1_2,4.98
SWW14112DH10_2,1.48
SWW14112DH12_2,1.41
SWW14112DH14_2,3.3
SWW14112DH15_2,3.3
SWW14112DH16_2,3.23
SWW14112DH17_2,0.61
