ID,HT-IL,FL-IL,HT-MX
12EF1370_4,357.68,103.36,198.36
12EF1371_4,379.34,109.28,197.16
12EF1372_4,373.43,100.4,203.08
12EF1373_4,354.72,123.1,211.04
12EF1374_4,421.67,118.17,208.9
12EF1375_4,393.12,118.17,204.86
12EF1376_4,409.86,93.49,204.96
12EF1378_4,418.72,98.42,212.28
12EF1379_4,409.86,97.44,210.09
12EF1380_4,421.67,118.17,214.34
12EF1381_4,421.67,132.98,216.16
12EF1383_4,337.98,95.46,221.32
12EF1386_4,418.72,116.19,215.13
12EF1387_4,418.72,107.31,218.9
12EF1388_4,410.84,103.36,215.23
12EF1389_4,420.69,121.13,219.98
12EF1390_4,403.95,106.32,226.45
12EF1392_4,405.92,129.03,229.02
12EF1393_4,413.79,118.17,224.62
12EF1394_4,421.67,106.32,231.59
12EF1395_4,421.67,103.36,227.18
12EF1396_4,421.67,105.33,229.18
12EF1398_4,401.98,132.98,234.89
12EF1399_4,421.67,110.27,
